entity_id_candidate;name_official_candidate;place_rank;place_id;place_name;formatted_address;places_status
vr_024264;Deutsch Arabische Freundschaft e. V.;3.0;ChIJqxlHraZRqEcRgukKRDmbJz4;Deutsch-Arabische Gesellschaft e. V.;Calvinstraße 23, 10557 Berlin;OK
vr_031117;Deutsch Arabische Freundschaft & Familienbegegnung e. V.;1.0;ChIJzfw4cNBRqEcR30j3nfV4Ez0;DAFG - Deutsch-Arabische Freundschaftsgesellschaft e. V.;Wallstraße 61, 10179 Berlin;OK
vr_031117;Deutsch Arabische Freundschaft & Familienbegegnung e. V.;2.0;ChIJc-O7M9ZXqEcRTb-SjtpkjJk;Deutsch Arabische Freundschaft & Familienbegegnung e. V.;Semmelländerweg 10, 13593 Berlin-Bezirk Spandau;OK
vr_026158;Deutsch - Arabische Unabhängige Gemeinde e. V.;1.0;ChIJG6_Su6RPqEcRiAJ2zThyYQY;Deutsch-Arabische Gemeinde e.V.;Boddinstraße 66, 12053 Berlin-Bezirk Neukölln;OK
vr_026158;Deutsch - Arabische Unabhängige Gemeinde e. V.;2.0;ChIJqxlHraZRqEcRgukKRDmbJz4;Deutsch-Arabische Gesellschaft e. V.;Calvinstraße 23, 10557 Berlin;OK
vr_026158;Deutsch - Arabische Unabhängige Gemeinde e. V.;3.0;ChIJc-O7M9ZXqEcRTb-SjtpkjJk;Deutsch Arabische Freundschaft & Familienbegegnung e. V.;Semmelländerweg 10, 13593 Berlin-Bezirk Spandau;OK
vr_036090;Das Arabische Berliner Tor e. V.;1.0;ChIJp9erMrJTqEcRSpqxH3R4FSs;Arabische Schule und Kulturen مدرسة بوابة برلين لتعليم اللغة العربية للناطقين وغير الناطقين بها;Senftenberger Ring 54, 13435 Berlin;OK
vr_036090;Das Arabische Berliner Tor e. V.;2.0;ChIJWbAB0JxPqEcRlSUKKVtell0;Al-Dar e.V.;Glasower Str. 44, 12051 Berlin-Bezirk Neukölln;OK
vr_036090;Das Arabische Berliner Tor e. V.;3.0;ChIJK7iKMuqOsUcRHCYD7bGxqys;Berliner Tor;20099 Hamburg, Deutschland;OK
vr_040901;Arabische Musik Initiative Berlin e.V.;1.0;ChIJ8_pJeOlRqEcR8iFIEhVwKZ0;Initiative Musik gemeinnützige Projektgesellschaft mbH;Friedrichstraße 122, 10117 Berlin;OK
vr_040901;Arabische Musik Initiative Berlin e.V.;2.0;ChIJV10S5XlQqEcRCEPcYapWIT4;Al Nadi - Treffpunkt für arabische Frauen;Rheinstraße 53-54, 12161 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_010201;Arabische Eltern-Union e. V.;1.0;ChIJMU18GMlPqEcRm8iRYNiU6OA;Arabische Eltern-Union e.V.;Urbanstraße 44, 10967 Berlin-Bezirk Friedrichshain-Kreuzberg;OK
vr_035172;cultiamo.org - Gesellschaft für freie Sprache, Kultur, Geschichte, Geografie, Forschung und Völkerverständigung e. V.;1.0;ChIJC72Qoag5sUcRicbwGVLpuIM;Kulturverein cultimo e.V.;Kuhstedtermoor 24, 27442 Gnarrenburg-Kuhstedtermoor;OK
vr_035172;cultiamo.org - Gesellschaft für freie Sprache, Kultur, Geschichte, Geografie, Forschung und Völkerverständigung e. V.;2.0;ChIJo6vb1btPqEcRMsIEBIlLPkk;cultures interactive e.V.;Mainzer Str. 11, 12053 Berlin-Bezirk Neukölln;OK
vr_029944;Zentrum für Bildung und Sprache (ZeBuS) e. V.;1.0;ChIJV4s-OQtPqEcReadGumESQHo;ZeBuS e.V. Zentrum für Bildung und Sprache e.V.;Richardstraße 66, 12055 Berlin-Bezirk Neukölln;OK
hrb_181979;ZS Gewobag Projektentwicklung Wendenschloßstraße GmbH;1.0;ChIJRQ4HPRVUqEcR07BukWmQAD4;Gewobag Wohnungsbau-Aktiengesellschaft Berlin;Alt-Moabit 101A, 10559 Berlin;OK
hrb_181979;ZS Gewobag Projektentwicklung Wendenschloßstraße GmbH;2.0;ChIJw-wCM-RHqEcRC4NoOvKzPME;WBG Wendenschloß eG;Wendenschloßstraße 331, 12557 Berlin;OK
hrb_181979;ZS Gewobag Projektentwicklung Wendenschloßstraße GmbH;3.0;ChIJV-sNNMVRqEcRfAyjooTub8I;Gewobag VB Vermögensverwaltungs- und Betriebsgesellschaft mbH;Alt-Moabit 101A, 10559 Berlin;OK
