Ablation;Basis_Modell;Experimenttyp;fold;fit_time_seconds;score_time_seconds;macro_f1;weighted_f1;balanced_accuracy;accuracy;test_macro_f1;train_macro_f1;generalization_gap_macro_f1;test_weighted_f1;train_weighted_f1;generalization_gap_weighted_f1;test_balanced_accuracy;train_balanced_accuracy;generalization_gap_balanced_accuracy;test_accuracy;train_accuracy;generalization_gap_accuracy;model_signature;val_macro_f1;val_weighted_f1;val_balanced_accuracy;val_accuracy
Ohne Anschrift;SGD hinge balanced;Feature-Ablation;2;5.4174885749816895;0.9129922389984132;;;;;;0.861983538216627;0.1048733012960669;;0.958149112449772;0.0406905130663708;;0.932659254700593;0.1158792396154571;;0.956068524970964;0.0419570267131241;65043bdf94a7;0.75711023692056;0.9174585993834012;0.8167800150851359;0.9141114982578398
Ohne Anschrift;SGD hinge balanced;Feature-Ablation;3;5.70893144607544;0.5608770847320557;;;;;;0.90172001877645;0.1007820273058561;;0.961670663348661;0.0447639169182773;;0.961778516573957;0.1116102218366783;;0.9608885017421602;0.0455574912891985;65043bdf94a7;0.8009379914705939;0.9169067464303836;0.8501682947372786;0.9153310104529616
Ohne Anschrift;SGD hinge balanced;Feature-Ablation;4;5.649211645126343;0.5659651756286621;;;;;;0.91897909012505;0.098029930855115;;0.9632222365079692;0.0417808781551106;;0.9696033012691452;0.1122356679932609;;0.962137049941928;0.0429732868757258;65043bdf94a7;0.8209491592699351;0.9214413583528588;0.8573676332758843;0.919163763066202
Ohne Name;SGD hinge balanced;Feature-Ablation;1;5.415805578231812;0.6663486957550049;;;;;;0.8774593663622052;0.1049073479172699;;0.9586385501607562;0.0400607083244656;;0.9505454997279552;0.1363819668514174;;0.9564169570267133;0.0396051103368176;79ef1f8fbb7a;0.7725520184449353;0.9185778418362904;0.8141635328765378;0.9168118466898956
Ohne Name;SGD hinge balanced;Feature-Ablation;2;5.066870927810669;0.6075279712677002;;;;;;0.8718762248094108;0.13659886133388;;0.947226521284232;0.044871667346263;;0.9242233001004918;0.1313005970482419;;0.9413472706155632;0.0467479674796748;79ef1f8fbb7a;0.7352773634755309;0.902354853937969;0.7929227030522499;0.8945993031358885
Ohne Name;SGD hinge balanced;Feature-Ablation;3;5.116303682327271;0.6141016483306885;;;;;;0.9013840416572724;0.118450153527214;;0.9631268441315108;0.0516667715506149;;0.9574898880943676;0.1322809815446272;;0.9624274099883856;0.0521486643437862;79ef1f8fbb7a;0.7829338881300583;0.911460072580896;0.8252089065497403;0.9102787456445992
Ohne Name;SGD hinge balanced;Feature-Ablation;4;4.841250896453857;0.539417028427124;;;;;;0.9117480248939456;0.0959455231361426;;0.9616058678177531;0.0460380235186178;;0.9676449064737728;0.1158783030044179;;0.9610336817653892;0.0469221835075492;79ef1f8fbb7a;0.8158025017578028;0.9155678442991352;0.8517666034693548;0.9141114982578398
Text only;SGD hinge balanced;Feature-Ablation;1;4.749178886413574;0.6581382751464844;;;;;;0.9239407275902554;0.1211338697772642;;0.9676736557134056;0.0429409726017401;;0.9732675666490568;0.1552260281940827;;0.9671602787456446;0.043205574912892;7bad6a6c83fc;0.8028068578129911;0.9247326831116656;0.8180415384549742;0.9239547038327526
Text only;SGD hinge balanced;Feature-Ablation;2;4.800389051437378;0.6647450923919678;;;;;;0.9160585234492256;0.1048994355374861;;0.9686444042700422;0.0438475799726072;;0.9737660324506026;0.1104736533191249;;0.9679442508710802;0.0449477351916376;7bad6a6c83fc;0.8111590879117394;0.9247968242974348;0.8632923791314776;0.9229965156794424
Text only;SGD hinge balanced;Feature-Ablation;3;5.059326410293579;0.729224443435669;;;;;;0.892207631183321;0.1056961823542342;;0.9680050150922485;0.0477270612115355;;0.9727651388644862;0.1081147036844614;;0.9671312427409988;0.0484030197444831;7bad6a6c83fc;0.7865114488290867;0.9202779538807128;0.8646504351800248;0.9187282229965156
Text only;SGD hinge balanced;Feature-Ablation;4;4.88199520111084;0.6590430736541748;;;;;;0.8948757201524195;0.1002476430585764;;0.9676354492306296;0.0439004002218056;;0.9713522358468384;0.0997938010850173;;0.9667247386759582;0.0450348432055749;7bad6a6c83fc;0.794628077093843;0.923735049008824;0.8715584347618212;0.9216898954703832
Text + categorical;SGD hinge balanced;Feature-Ablation;1;5.445807218551636;0.7307939529418945;;;;;;0.9000378612875455;0.0885449080137472;;0.9635299894764144;0.0415962299068974;;0.9616571043877666;0.1227661739157928;;0.9624854819976773;0.0418408826945412;8a582e76caa9;0.8114929532737982;0.9219337595695168;0.8388909304719738;0.920644599303136
Text + categorical;SGD hinge balanced;Feature-Ablation;2;5.835144758224487;0.6967127323150635;;;;;;0.9191414522213972;0.1161615441223031;;0.9648252796607356;0.0425467220262126;;0.9730555080385834;0.1274788627316886;;0.9640243902439024;0.0437282229965156;8a582e76caa9;0.8029799080990939;0.922278557634523;0.8455766453068948;0.9202961672473868
Text + categorical;SGD hinge balanced;Feature-Ablation;3;5.442436933517456;0.6751565933227539;;;;;;0.9244712282056;0.0974782534242088;;0.9667324266278442;0.0457936435959805;;0.9750409068759032;0.1229199803889121;;0.9662020905923344;0.0463414634146341;8a582e76caa9;0.8269929747813913;0.9209387830318636;0.852120926486991;0.9198606271777005
